2014,6/23/2005 0:00:00,108,Galpón,Buenos Aires,La Plata,La Plata,Sobre Calle,, 1990// 116  entre 60 y 61,,,,1,1,1,0,1,0,0,,540,,0,1,0,20,1,0,0,0,0,0,0,0,0,1,0,"Esta propiedad tiene 540 metros cubiertos, sobre un lote de 10 X 60. Consta de un lavadero y baño.",,,0,,,PE,6500
2030,6/24/2005 0:00:00,108,Lote,Buenos Aires,La Plata,La Plata,Sobre Calle,, // 33 entre 21 y 22,,,"Se encuentra ubicado a 15m de la esquina de 21, sobre calle 33.",0,0,0,0,0,0,0,,240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lote de 8m X 30m.,,,0,,,,
2059,6/30/2005 0:00:00,60,Galpón,Buenos Aires,La Plata,La Plata,Sobre Calle,, // 520 e 118 y 119,,,,1,1,1,0,1,0,0,,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOcal galpon con fosa, baño ,oficina y salida a dos calles",,,0,,,,
2900,9/5/2005 0:00:00,64,Lote,Buenos Aires,Gral. Pueyrredon,Mar Del Plata,Sobre Calle,,2868 // ,,,"Estancia Cabo Corrientes, Bosque De Peralta Ramos",0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,PE,10000,,
3215,10/3/2005 0:00:00,60,Campo,Buenos Aires,Magdalena,Costa Sud,Sobre Calle,,3199 // paraje Starache,,, ruta 36 entrada 700 metros de la ruta,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,     88 hectareas a 700 metros de ruta 36 en paraje estarache  sin mejoras campo para cria,,,0,US,150000,,
3481,11/2/2005 0:00:00,130,Local,Buenos Aires,La Plata,La Plata,Sobre Calle,,3470 // Avenida 13 e/ 41 y 42,,,LOCAL CON VIVIENDA,1,1,1,0,1,1,1,,245,,4,2,0,30,4,9,0,1,1,0,1,1,0,1,1,"LOCAL COMERCIAL CON POSIBILIDAD DE ANEXAR COCHERA Y AMPLIARLO. ATRAS CASA 2 PLANTAS CON DEPENDENCIAS DE SERVICIO, IDEAL CONSULTORIOS, OFICINAS ETC.",,,0,PE,0,,
3482,6/22/2011 0:00:00,130,Casa,Buenos Aires,La Plata,La Plata,Sobre Calle,,3471 // 82 e/ 6 y 6bis,,,MUY BUEN ENTORNO.- SUSPENDIDA ¡¡,1,1,1,0,1,1,1,120,100,,3,0,0,0,1,9,0,1,0,1,1,1,0,1,0,"EXELENTE CON COCHERA, ENTRADA DE AUTO, PARQUE Y FONDO, 3 DORMITORIOS, COCINA COMEDOR, IMPECABLE, MUY BUENA ZONA  ",,,0,US,75000,,
3762,5/28/2010 0:00:00,108,Departamento,Buenos Aires,La Plata,Los Hornos,Sobre Calle,,3749 // 62 entre 135 y 136,2030,P.B.,Zona centro de Los Hornos,1,1,1,0,1,0,0,23,48,71,2,1,3,30,1,0,0,0,0,0,0,1,0,0,0,"Departamento tipo casa  por pasillo. Cuenta con dos dormitorios, cocina comedor, dos patios, uno de ellos semicubierto con lavadero, y baño completo. Su estado general es bueno. Se vende alquilado.",,,0,US,56000,,
4095,2/16/2006 0:00:00,56,Departamento,Buenos Aires,La Plata,La Plata,Sobre Calle,, // 45/6,,,Calle 45 E/ 6 y 7,0,0,0,0,0,0,0,,37,,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,"Living comedor, cocina con mueble bajo mesada, baño completo con bañera, dormitorio con placard, balcon.",,,0,,,,
4231,3/9/2006 0:00:00,108,Lote,Buenos Aires,La Plata,La Plata,Sobre Calle,Berisso, 4191// 122 entre 74 y 75,,,,1,1,1,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lote de 20x40.,,,0,,,PE,1800
4411,3/22/2006 0:00:00,132,Lote,Buenos Aires,La Plata,Las Quintas,Sobre Calle,,4377 // 37 y 148,,,Zona urbana.,0,1,0,1,0,0,0,,,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agua de bomba. Calle mejorada.,,,0,US,25000,,
4519,4/3/2006 0:00:00,133,Lote,Buenos Aires,La Plata,La Plata,Sobre Calle,, // 610 y 23,,,Zona de tierras altas. Son tres parcelas que se venden en block o separadas. Total: 7 has.,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,
4611,4/11/2006 0:00:00,108,Galpón,Buenos Aires,La Plata,La Plata,Sobre Calle,, 4583// 120 Esquina 33,,,,0,0,0,0,0,0,0,,300,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Galpón de 240 metros cubiertos. Cuenta con entrada para vehículos y acceso independiente, una oficina y local (con acceso independiente), ambos de 30 metros. Su estado general es bueno. ",,,0,,,PE,0
5066,5/29/2006 0:00:00,108,Departamento,Buenos Aires,La Plata,La Plata,Sobre Calle,, // 9 Esq. Diag. 74,,,,1,1,1,0,1,0,0,,70,70,3,0,4,35,2,0,0,0,0,0,0,0,0,0,0,"Excelente departamento, todo hacia el frente. Cuenta con living comedor de 20 metros, cocina comedor de 3 X 3 metros con lavadero cubierto, tres dormitorios, un baño completo y un toilette.",,,0,,,,
5078,5/30/2006 0:00:00,108,Galpón,Buenos Aires,La Plata,La Plata,Sobre Calle,, // 139 entre 46 y 47,,,,1,1,1,0,1,0,0,300,100,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Excelente galpón de 100 metros cubiertos y 300 metros descubiertos, un baño, entrada para camiones, tinglado de 7 metros de altura, y piso de cemento alisado. Su estado general es muy bueno.",,,0,,,,
